,stuck,oob,success,dnf,not_progressing,lap_times,episode,pct_complete,total_time,total_distance,average_speed_kph,average_displacement_error,trajectory_efficiency,trajectory_admissibility,movement_smoothness,timestep/sec
0,False,True,False,False,False,[],1001,0.4,16.1,44.12,9.87,1.5,0.003,0.813,7.201,8.95
1,False,True,False,False,False,[],1002,0.5,14.17,60.08,15.27,1.16,0.001,0.823,7.524,8.89
2,False,True,False,False,False,[],1003,0.2,10.33,21.52,7.5,1.95,0.002,0.768,6.279,8.91
3,False,True,False,False,False,[],1004,0.2,9.89,24.36,8.87,1.98,0.057,0.71,5.958,8.9
4,False,True,False,False,False,[],1005,0.3,11.19,36.09,11.61,1.58,0.017,0.858,5.277,8.94
5,False,True,False,False,False,[],1006,0.4,18.5,52.08,10.13,1.95,0.037,0.89,6.877,8.92
6,False,True,False,False,False,[],1007,0.2,7.69,21.78,10.2,1.89,0.155,0.759,5.984,8.85
7,False,True,False,False,False,[],1008,0.3,9.03,32.52,12.97,1.42,0.192,0.841,6.227,8.86
8,False,True,False,False,False,[],1009,0.5,13.73,54.05,14.17,1.79,0.166,0.819,7.283,8.88
9,False,True,False,False,False,[],1010,0.3,12.64,33.3,9.49,1.56,0.161,0.768,6.848,8.86
10,False,True,False,False,False,[],1011,0.3,8.27,31.8,13.84,2.1,0.134,0.767,5.347,8.82
11,False,True,False,False,False,[],1012,0.3,12.02,38.05,11.4,2.18,0.182,0.722,6.168,8.74
12,False,True,False,False,False,[],1013,0.3,11.7,31.05,9.55,1.84,0.004,0.8,6.467,8.8
13,False,True,False,False,False,[],1014,0.5,16.98,56.09,11.89,1.02,0.187,0.88,6.691,8.78
14,False,True,False,False,False,[],1015,0.5,15.25,55.27,13.05,1.14,0.001,0.828,7.495,8.79
15,False,True,False,False,False,[],1016,0.2,8.77,19.89,8.16,1.69,0.149,0.723,5.908,8.78
16,False,True,False,False,False,[],1017,0.3,9.32,31.25,12.07,1.77,0.002,0.777,5.391,8.8
17,False,True,False,False,False,[],1018,0.5,14.01,57.36,14.74,1.01,0.0,0.799,6.373,8.85
18,False,True,False,False,False,[],1019,0.2,11.29,27.63,8.81,1.62,0.004,0.735,6.43,8.77
19,False,True,False,False,False,[],1020,0.4,15.19,50.05,11.86,1.5,0.037,0.849,7.454,8.82
20,False,True,False,False,False,[],1021,0.2,9.51,24.11,9.13,1.62,0.01,0.811,6.491,8.42
21,False,True,False,False,False,[],1022,0.1,13.43,17.82,4.78,1.43,0.001,0.836,5.931,8.78
22,False,True,False,False,False,[],1023,0.2,13.15,28.55,7.82,1.33,0.004,0.792,6.143,8.82
23,False,True,False,False,False,[],1024,0.1,7.31,16.82,8.28,1.77,0.013,0.824,5.007,8.75
24,False,True,False,False,False,[],1025,0.2,8.5,26.6,11.27,1.82,0.092,0.716,6.126,8.82
25,False,True,False,False,False,[],1026,0.1,6.71,18.06,9.69,1.73,0.161,0.771,4.986,8.79
26,False,True,False,False,False,[],1027,0.2,9.02,25.8,10.3,1.58,0.007,0.722,5.546,8.76
27,False,True,False,False,False,[],1028,0.1,5.74,17.53,11.0,1.96,0.085,0.751,5.264,8.72
28,False,True,False,False,False,[],1029,0.2,11.41,21.68,6.84,1.38,0.003,0.799,6.078,8.77
29,False,True,False,False,False,[],1030,0.2,10.94,29.5,9.71,1.73,0.181,0.732,5.665,8.78
30,False,True,False,False,False,[],1031,0.1,11.03,18.65,6.09,1.67,0.002,0.796,6.335,8.79
31,False,True,False,False,False,[],1032,0.2,6.85,19.73,10.37,1.5,0.075,0.704,5.531,8.76
32,False,True,False,False,False,[],1033,0.1,6.07,13.65,8.09,1.78,0.028,0.806,4.671,8.73
33,False,True,False,False,False,[],1034,0.1,5.34,13.37,9.01,1.67,0.012,0.749,5.835,8.8
34,False,True,False,False,False,[],1035,0.1,10.39,14.81,5.13,1.48,0.006,0.745,5.65,8.76
35,False,True,False,False,False,[],1036,0.1,25.82,15.12,2.11,1.35,0.002,0.852,6.442,8.79
36,False,False,False,False,True,[],1037,0.0,34.27,5.16,0.54,0.87,0.001,1.0,6.649,8.73
37,True,False,False,False,False,[],1038,0.1,23.97,10.17,1.53,2.5,0.001,1.0,6.069,8.76
38,False,False,False,False,True,[],1039,0.0,34.19,5.91,0.62,0.54,0.0,1.0,6.6,8.75
39,False,False,False,False,True,[],1040,0.1,34.08,14.56,1.54,0.95,0.0,1.0,8.282,8.77
40,False,True,False,False,False,[],1041,0.1,12.71,17.33,4.91,1.73,0.094,0.809,6.447,8.73
41,False,True,False,False,False,[],1042,0.2,12.19,23.5,6.94,1.76,0.12,0.675,6.204,8.78
42,False,True,False,False,False,[],1043,0.2,10.21,20.56,7.25,1.68,0.147,0.703,6.055,8.81
43,False,True,False,False,False,[],1044,0.2,10.6,26.3,8.94,1.72,0.064,0.744,6.742,8.78
44,False,True,False,False,False,[],1045,0.2,19.53,21.49,3.96,1.43,0.0,0.73,6.619,8.76
45,False,True,False,False,False,[],1046,0.2,11.36,24.99,7.92,1.73,0.157,0.753,6.174,8.8
46,False,True,False,False,False,[],1047,0.1,8.1,17.4,7.73,1.89,0.097,0.795,5.072,8.76
47,False,True,False,False,False,[],1048,0.4,12.79,43.31,12.19,2.41,0.003,0.754,7.255,8.52
48,False,True,False,False,False,[],1049,0.8,24.59,95.0,13.91,1.75,0.192,0.863,8.085,8.78
